title,youtube_id,description,category,difficulty,duration,thumbnail_url
Learn Nepali in 30 Minutes,wTwW09sWJYI,Complete beginner guide to Nepali language,beginner,1,1800,
Nepali Alphabet Complete,7E0fVfectDo,Learn all Devanagari letters with pronunciation,alphabet,1,1200,
Nepali Numbers 1-100,oHg5SJYRHA0,Master counting in Nepali from 1 to 100,numbers,1,900,
Basic Nepali Greetings,3AtDnEC4zak,Essential greetings and polite phrases,greetings,1,600,
Nepali for Travelers,qybUFnY7Y8w,Survival phrases for visiting Nepal,travel,1,1500,
Daily Nepali Conversation,PTOhQhxPz3U,Common phrases used in everyday life,conversation,2,1800,
Nepali Grammar Basics,6v2L2UZFA7Y,Introduction to Nepali grammar structure,grammar,2,2100,
Learn Nepali With Subtitles,kffacxfA7G4,Story-based learning with English subtitles,intermediate,2,1200,
Nepali Food Vocabulary,JqRfI5jqz1M,Learn food and restaurant vocabulary,food,1,900,
Nepali Family Words,EhqNfDg0Qwk,Family members and relationships,family,1,720,
Nepali Verbs Conjugation,5NZeDu7bckg,How to conjugate common Nepali verbs,grammar,2,1500,
Nepali Shopping Phrases,Boj0L0JX72Q,Essential phrases for shopping in Nepal,shopping,2,840,
Nepali Pronunciation Guide,cNeVRcUbiA0,Master Nepali pronunciation and accent,pronunciation,2,1800,
Nepali Writing Practice,ySDcpCcVW_c,How to write Devanagari script,writing,2,1500,
Nepali Days and Months,nG6FnTf2R5A,Learn days of the week and months,time,1,600,
Nepali Colors and Shapes,kkLIlEwPT8M,Basic colors and shapes vocabulary,basics,1,480,
Nepali Body Parts,_j_KN3X-8CA,Learn body parts vocabulary in Nepali,health,1,720,
Nepali Weather Expressions,p8h57t9BzRY,Talk about weather in Nepali,weather,2,660,
Nepali Directions,5Q8sVHc1rVM,Ask and give directions in Nepali,directions,2,900,
Nepali Culture and Customs,Zg1WQXxZb8w,Understanding Nepali culture and traditions,culture,2,2400,
