nepali,romanized,english,category,difficulty,audio_url
म को हुँ?,ma ko hu,Who am I?,introduction,1,
तपाईंको नाम के हो?,tapaaiko naam ke ho,What is your name?,introduction,1,
मेरो नाम... हो,mero naam... ho,My name is...,introduction,1,
तपाई कहाँबाट हुनुहुन्छ?,tapaai kahaabata hunuhunchha,Where are you from?,introduction,1,
म नेपालबाट हुँ,ma nepalbata hu,I am from Nepal,introduction,1,
तपाईलाई भेटेर खुसी लाग्यो,tapaaila bhetera khushi lagyo,Nice to meet you,greetings,1,
फेरि भेटौंला,pheri bhetaula,See you again,greetings,1,
सुभ प्रभात,subha prabhaat,Good morning,greetings,1,
शुभ दिन,shubha din,Good day,greetings,1,
शुभ रात्री,shubha raatri,Good night,greetings,1,
कस्तो छ?,kasto chha,How are you?,greetings,1,
म सञ्चै छु,ma sanchai chhu,I am fine,greetings,1,
तपाई कस्तो हुनुहुन्छ?,tapaai kasto hunuhunchha,How are you? (formal),greetings,1,
तिमी कस्तो छौ?,timi kasto chhau,How are you? (informal),greetings,1,
हजुर?,hajur,Yes? (polite),greetings,1,
माफ गर्नुहोस्,maaf garnuhos,Sorry / Excuse me,apology,1,
कृपया,kripaya,Please,polite,1,
सबैलाई नमस्कार,sabailai namaskaar,Greetings to everyone,greetings,1,
जय नेपाल,jai nepal,Victory to Nepal,patriotic,1,
बिदा,bida,Goodbye,farewell,1,
भोलि भेटौंला,bholi bhetaula,See you tomorrow,farewell,1,
पछि भेटौंला,pachhi bhetaula,See you later,farewell,1,
म जानु पर्छ,ma jaanu parchha,I have to go,departure,1,
तपाईको स्वास्थ्य कस्तो छ?,tapaaiko swasthya kasto chha,How is your health?,health,1,
म बिरामी छु,ma biraami chhu,I am sick,health,2,
मलाई टाउको दुख्छ,malai tauko dukhchha,I have a headache,health,2,
मलाई पेट दुख्छ,malai pet dukhchha,I have a stomach ache,health,2,
अस्पताल कहाँ छ?,aspataal kahaa chha,Where is the hospital?,emergency,2,
मलाई डाक्टर चाहिन्छ,malai doctor chahinchha,I need a doctor,emergency,2,
एम्बुलेन्स बोलाउनुहोस्,ambulance bolaaunuhos,Call an ambulance,emergency,2,
आगो लाग्यो,aago lagyo,There is a fire,emergency,3,
चोर!,chor,Thief!,emergency,3,
कोही छ?,kohi chha,Is anyone there?,emergency,2,
